Gemini,20
1000000
2000000
3000000
4000000
5000000
6000000
7000000
8000000
9000000,Gemini-1,3,2.7,13.45,white,70
10000000,Gemini-1,3,2.7,13.45,white,70,Gemini-2,3.6,12.1,14.1,white,70
11000000,Gemini-1,3,2.7,13.45,white,70,Gemini-2,3.6,12.1,14.1,white,70
12000000,Gemini-1,3,2.7,13.45,white,70,Gemini-2,3.6,12.1,14.1,white,70
13000000,Gemini-1,3,2.7,13.45,white,70,Gemini-2,3.6,12.1,14.1,white,70
14000000,Gemini-1,3,2.7,13.45,white,70,Gemini-2,3.6,12.1,14.1,white,70,Gemini-3,19.25,11.8,3.1,white,70
15000000,Gemini-1,3,2.7,13.45,white,70,Gemini-2,3.6,12.1,14.1,white,70,Gemini-3,19.25,11.8,3.1,white,70,Gemini-4,16.05,5.85,16.4,white,70
16000000,Gemini-1,3,2.7,13.45,white,70,Gemini-2,3.6,12.1,14.1,white,70,Gemini-3,19.25,11.8,3.1,white,70,Gemini-4,16.05,5.85,16.4,white,70
17000000,Gemini-1,3,2.7,13.45,white,70,Gemini-2,3.6,12.1,14.1,white,70,Gemini-3,19.25,11.8,3.1,white,70,Gemini-4,16.05,5.85,16.4,white,70
18000000,Gemini-1,3,2.7,13.45,deep blue white,2.41991,Gemini-2,3.6,12.1,14.1,white,70,Gemini-3,19.25,11.8,3.1,white,70,Gemini-4,16.05,5.85,16.4,white,70
19000000,Gemini-1,3,2.7,13.45,deep blue white,2.41991,Gemini-2,3.6,12.1,14.1,blue,6.07105,Gemini-3,19.25,11.8,3.1,white,70,Gemini-4,16.05,5.85,16.4,white,70
20000000,Gemini-1,3,2.7,13.45,deep blue white,2.41991,Gemini-2,3.6,12.1,14.1,blue,6.07105,Gemini-3,19.25,11.8,3.1,white,70,Gemini-4,16.05,5.85,16.4,white,70
21000000,Gemini-1,3,2.7,13.45,deep blue white,2.41991,Gemini-2,3.6,12.1,14.1,blue white,500,Gemini-3,19.25,11.8,3.1,white,70,Gemini-4,16.05,5.85,16.4,white,70
22000000,Gemini-1,3,2.7,13.45,deep blue white,2.41991,Gemini-2,3.6,12.1,14.1,blue white,500,Gemini-3,19.25,11.8,3.1,white,70,Gemini-4,16.05,5.85,16.4,white,70
23000000,Gemini-1,3,2.7,13.45,deep blue white,2.41991,Gemini-2,3.6,12.1,14.1,blue white,500,Gemini-3,19.25,11.8,3.1,blue white,1.41096,Gemini-4,16.05,5.85,16.4,white,70
24000000,Gemini-1,3,2.7,13.45,deep blue white,2.41991,Gemini-2,3.6,12.1,14.1,blue white,500,Gemini-3,19.25,11.8,3.1,blue white,1.41096,Gemini-4,16.05,5.85,16.4,deep blue white,3.16248
25000000,Gemini-1,3,2.7,13.45,deep blue white,2.41991,Gemini-2,3.6,12.1,14.1,blue white,500,Gemini-3,19.25,11.8,3.1,blue white,1.41096,Gemini-4,16.05,5.85,16.4,deep blue white,3.16248
26000000,Gemini-1,3,2.7,13.45,deep blue white,2.41991,Gemini-2,3.6,12.1,14.1,blue white,500,Gemini-3,19.25,11.8,3.1,blue white,1.41096,Gemini-4,16.05,5.85,16.4,deep blue white,3.16248